"","country","year","cellphones"
"3851","Abkhazia","1979",0
"3852","Afghanistan","1979",0
"3853","Akrotiri and Dhekelia","1979",0
"3854","Albania","1979",0
"3855","Algeria","1979",0
"3856","American Samoa","1979",0
"3857","Andorra","1979",0
"3858","Angola","1979",0
"3859","Anguilla","1979",0
"3860","Antigua and Barbuda","1979",0
"3861","Argentina","1979",0
"3862","Armenia","1979",0
"3863","Aruba","1979",0
"3864","Australia","1979",0
"3865","Austria","1979",0
"3866","Azerbaijan","1979",0
"3867","Bahamas","1979",0
"3868","Bahrain","1979",0
"3869","Bangladesh","1979",0
"3870","Barbados","1979",0
"3871","Belarus","1979",0
"3872","Belgium","1979",0
"3873","Belize","1979",0
"3874","Benin","1979",0
"3875","Bermuda","1979",0
"3876","Bhutan","1979",0
"3877","Bolivia","1979",0
"3878","Bosnia and Herzegovina","1979",0
"3879","Botswana","1979",0
"3880","Brazil","1979",0
"3881","British Virgin Islands","1979",0
"3882","Brunei","1979",0
"3883","Bulgaria","1979",0
"3884","Burkina Faso","1979",0
"3885","Burundi","1979",0
"3886","Cambodia","1979",0
"3887","Cameroon","1979",0
"3888","Canada","1979",0
"3889","Cape Verde","1979",0
"3890","Cayman Islands","1979",0
"3891","Central African Republic","1979",0
"3892","Chad","1979",0
"3893","Channel Islands","1979",0
"3894","Chile","1979",0
"3895","China","1979",0
"3896","Christmas Island","1979",0
"3897","Cocos Island","1979",0
"3898","Colombia","1979",0
"3899","Comoros","1979",0
"3900","Congo, Dem. Rep.","1979",0
"3901","Congo, Rep.","1979",0
"3902","Cook Is","1979",0
"3903","Costa Rica","1979",0
"3904","Cote d'Ivoire","1979",0
"3905","Croatia","1979",0
"3906","Cuba","1979",0
"3907","Cyprus","1979",0
"3908","Czech Republic","1979",0
"3909","Czechoslovakia","1979",0
"3910","Denmark","1979",0
"3911","Djibouti","1979",0
"3912","Dominica","1979",0
"3913","Dominican Republic","1979",0
"3914","East Germany","1979",0
"3915","Ecuador","1979",0
"3916","Egypt","1979",0
"3917","El Salvador","1979",0
"3918","Equatorial Guinea","1979",0
"3919","Eritrea","1979",0
"3920","Eritrea and Ethiopia","1979",0
"3921","Estonia","1979",0
"3922","Ethiopia","1979",0
"3923","Faeroe Islands","1979",0
"3924","Falkland Is (Malvinas)","1979",0
"3925","Fiji","1979",0
"3926","Finland","1979",0
"3927","France","1979",0
"3928","French Guiana","1979",0
"3929","French Polynesia","1979",0
"3930","Gabon","1979",0
"3931","Gambia","1979",0
"3932","Georgia","1979",0
"3933","Germany","1979",0
"3934","Ghana","1979",0
"3935","Gibraltar","1979",0
"3936","Greece","1979",0
"3937","Greenland","1979",0
"3938","Grenada","1979",0
"3939","Guadeloupe","1979",0
"3940","Guam","1979",0
"3941","Guatemala","1979",0
"3942","Guernsey","1979",0
"3943","Guinea","1979",0
"3944","Guinea-Bissau","1979",0
"3945","Guyana","1979",0
"3946","Haiti","1979",0
"3947","Holy See","1979",0
"3948","Honduras","1979",0
"3949","Hong Kong, China","1979",0
"3950","Hungary","1979",0
"3951","Iceland","1979",0
"3952","India","1979",0
"3953","Indonesia","1979",0
"3954","Iran","1979",0
"3955","Iraq","1979",0
"3956","Ireland","1979",0
"3957","Isle of Man","1979",0
"3958","Israel","1979",0
"3959","Italy","1979",0
"3960","Jamaica","1979",0
"3961","Japan","1979",0
"3962","Jersey","1979",0
"3963","Jordan","1979",0
"3964","Kazakhstan","1979",0
"3965","Kenya","1979",0
"3966","Kiribati","1979",0
"3967","North Korea","1979",0
"3968","South Korea","1979",0
"3969","United Korea (former)
","1979",0
"3970","Kosovo","1979",0
"3971","Kuwait","1979",0
"3972","Kyrgyz Republic","1979",0
"3973","Lao","1979",0
"3974","Latvia","1979",0
"3975","Lebanon","1979",0
"3976","Lesotho","1979",0
"3977","Liberia","1979",0
"3978","Libya","1979",0
"3979","Liechtenstein","1979",0
"3980","Lithuania","1979",0
"3981","Luxembourg","1979",0
"3982","Macao, China","1979",0
"3983","Macedonia, FYR","1979",0
"3984","Madagascar","1979",0
"3985","Malawi","1979",0
"3986","Malaysia","1979",0
"3987","Maldives","1979",0
"3988","Mali","1979",0
"3989","Malta","1979",0
"3990","Marshall Islands","1979",0
"3991","Martinique","1979",0
"3992","Mauritania","1979",0
"3993","Mauritius","1979",0
"3994","Mayotte","1979",0
"3995","Mexico","1979",0
"3996","Micronesia, Fed. Sts.","1979",0
"3997","Moldova","1979",0
"3998","Monaco","1979",0
"3999","Mongolia","1979",0
"4000","Montenegro","1979",0
"4001","Montserrat","1979",0
"4002","Morocco","1979",0
"4003","Mozambique","1979",0
"4004","Myanmar","1979",0
"4005","Namibia","1979",0
"4006","Nauru","1979",0
"4007","Nepal","1979",0
"4008","Netherlands","1979",0
"4009","Netherlands Antilles","1979",0
"4010","New Caledonia","1979",0
"4011","New Zealand","1979",0
"4012","Ngorno-Karabakh","1979",0
"4013","Nicaragua","1979",0
"4014","Niger","1979",0
"4015","Nigeria","1979",0
"4016","Niue","1979",0
"4017","Norfolk Island","1979",0
"4018","Northern Cyprus","1979",0
"4019","Northern Mariana Islands","1979",0
"4020","Norway","1979",0
"4021","Oman","1979",0
"4022","Pakistan","1979",0
"4023","Palau","1979",0
"4024","Panama","1979",0
"4025","Papua New Guinea","1979",0
"4026","Paraguay","1979",0
"4027","Peru","1979",0
"4028","Philippines","1979",0
"4029","Pitcairn","1979",0
"4030","Poland","1979",0
"4031","Portugal","1979",0
"4032","Puerto Rico","1979",0
"4033","Qatar","1979",0
"4034","Reunion","1979",0
"4035","Romania","1979",0
"4036","Russia","1979",0
"4037","Rwanda","1979",0
"4038","St. Barthélemy","1979",0
"4039","St. Helena","1979",0
"4040","St. Kitts and Nevis","1979",0
"4041","St. Lucia","1979",0
"4042","St. Martin","1979",0
"4043","St. Vincent and the Grenadines","1979",0
"4044","St.-Pierre-et-Miquelon","1979",0
"4045","Samoa","1979",0
"4046","San Marino","1979",0
